Pos,No,Driver,Car,Time,Gap,Laps
1,63,George Russell RUS,Mercedes,1:18.399,,22
2,44,Lewis Hamilton HAM,Mercedes,1:18.543,+0.144s,23
3,1,Max Verstappen VER,Red Bull Racing RBPT,1:18.876,+0.477s,18
4,16,Charles Leclerc LEC,Ferrari,1:19.123,+0.724s,23
5,11,Sergio Perez PER,Red Bull Racing RBPT,1:19.241,+0.842s,24
6,55,Carlos Sainz SAI,Ferrari,1:19.301,+0.902s,20
7,4,Lando Norris NOR,McLaren Mercedes,1:19.317,+0.918s,22
8,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:19.390,+0.991s,28
9,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:19.882,+1.483s,24
10,23,Alexander Albon ALB,Williams Mercedes,1:19.917,+1.518s,18
11,31,Esteban Ocon OCO,Alpine Renault,1:19.960,+1.561s,19
12,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:20.019,+1.620s,25
13,14,Fernando Alonso ALO,Alpine Renault,1:20.037,+1.638s,16
14,3,Daniel Ricciardo RIC,McLaren Mercedes,1:20.139,+1.740s,22
15,10,Pierre Gasly GAS,AlphaTauri RBPT,1:20.330,+1.931s,24
16,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:20.477,+2.078s,20
17,47,Mick Schumacher MSC,Haas Ferrari,1:20.598,+2.199s,24
18,6,Nicholas Latifi LAT,Williams Mercedes,1:20.848,+2.449s,21
19,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:20.986,+2.587s,22
20,20,Kevin Magnussen MAG,Haas Ferrari,1:21.271,+2.872s,25
