Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles Leclerc LEC,Ferrari,1:14.531,,29
2,11,Sergio Perez PER,Red Bull Racing RBPT,1:14.570,+0.039s,30
3,55,Carlos Sainz SAI,Ferrari,1:14.601,+0.070s,28
4,1,Max Verstappen VER,Red Bull Racing RBPT,1:14.712,+0.181s,26
5,4,Lando Norris NOR,McLaren Mercedes,1:15.056,+0.525s,31
6,10,Pierre Gasly GAS,AlphaTauri RBPT,1:15.083,+0.552s,33
7,3,Daniel Ricciardo RIC,McLaren Mercedes,1:15.157,+0.626s,33
8,63,George Russell RUS,Mercedes,1:15.211,+0.680s,34
9,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:15.387,+0.856s,33
10,44,Lewis Hamilton HAM,Mercedes,1:15.499,+0.968s,29
11,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:15.536,+1.005s,36
12,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:15.539,+1.008s,26
13,14,Fernando Alonso ALO,Alpine Renault,1:15.749,+1.218s,28
14,20,Kevin Magnussen MAG,Haas Ferrari,1:15.806,+1.275s,30
15,23,Alexander Albon ALB,Williams Mercedes,1:16.110,+1.579s,39
16,31,Esteban Ocon OCO,Alpine Renault,1:16.315,+1.784s,24
17,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:16.417,+1.886s,27
18,6,Nicholas Latifi LAT,Williams Mercedes,1:17.714,+3.183s,30
19,47,Mick Schumacher MSC,Haas Ferrari,1:18.636,+4.105s,12
20,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,,,2
